REFERENCIA,TIPIFICACION,CONCEJO,HORA_CREACION,Lat,Lon
0327-23032026,Rescate de animales,Langreo,23/03/2026 14:08,"43,2726083","-5,6880805"
0018-22032026,Acc.Trafico sin heridos,Sobrescobio,22/03/2026 01:38,"43,2316611","-5,4749694"
0167-23032026,Asistencia tecnica,Mieres,23/03/2026 10:26,"43,24945","-5,7769194"
