Parte;Fecha;Concejo;IGP;Lat;Lon;Superficie
0079-07042026;07/04/2026 3:16;OVIEDO;;43.333499;-6.01336;
0177-07042026;07/04/2026 8:31;Onís;Bajo (0);43.334766;-4.96813;
0191-07042026;07/04/2026 9:01;Onís;;43.334766;-4.96813;
1090-05042026;05/04/2026 22:31;Onís;;43.334779;-4.95161;12
1005-06042026;07/04/2026 0:01;Onís;;43.334779;-4.95161;2
0005-08042026;08/04/2026 0:16;Cangas de Onís;;43.336144;-5.08937;12
0389-08042026;08/04/2026 14:31;Grado;Bajo (0);43.340026;-6.0595;5
0999-06042026;07/04/2026 0:01;Piloña;Bajo (0);43.340493;-5.33284;8
0901-07042026;07/04/2026 23:01;Cangas de Onís;;43.340775;-5.11223;
0306-07042026;07/04/2026 12:31;Oviedo;;43.345524;-5.97262;
0639-07042026;07/04/2026 18:31;Nava;;43.346521;-5.48394;
0883-05042026;05/04/2026 19:01;Allande;Bajo (0);43.347927;-6.69096;
0445-08042026;08/04/2026 15:46;Cangas de Onís;;43.353332;-4.99362;6
0849-06042026;06/04/2026 21:16;PILOÑA;Moderado (1);43.353885;-5.21549;15
0068-07042026;07/04/2026 2:31;Cangas de Onís;;43.360902;-5.05827;
0152-08042026;08/04/2026 9:32;Cangas de Onís;;43.363291;-5.03851;1
0526-07042026;07/04/2026 16:16;Ribadedeva;;43.363939;-4.57276;65
0268-07042026;07/04/2026 11:16;Oviedo;;43.365973;-5.88831;
0615-07042026;07/04/2026 18:01;Piloña;;43.366861;-5.33219;
0406-08042026;08/04/2026 15:01;Piloña;;43.367568;-5.3138;2
0907-06042026;06/04/2026 22:16;Tineo;Moderado (1);43.368107;-6.40757;4
0335-06042026;06/04/2026 13:30;Grado;;43.368885;-6.12361;
0540-05042026;05/04/2026 13:46;Tineo;;43.372399;-6.36686;3
0988-02042026;02/04/2026 21:16;Siero;;43.381081;-5.7824;
0495-07042026;07/04/2026 15:46;Llanes;;43.384758;-4.70884;
0142-08042026;08/04/2026 8:46;Llanes;Moderado (1);43.391942;-4.80612;
0010-07042026;07/04/2026 0:31;Cangas de Onís;;43.394664;-5.07838;1
0820-07042026;07/04/2026 21:31;Llanes;;43.395278;-4.73612;15
0010-06042026;06/04/2026 0:16;Grado;;43.401071;-6.06965;
0943-05042026;05/04/2026 20:01;Regueras (Las);;43.404106;-5.96903;9
0799-04042026;04/04/2026 16:46;Regueras (Las);;43.407096;-5.99625;4
0876-05042026;05/04/2026 18:46;OVIEDO;;43.408654;-6.94687;
0024-07042026;07/04/2026 0:46;Llanes;;43.428479;-4.80686;
0655-04042026;04/04/2026 14:31;Salas;;43.434616;-6.25553;
0859-07042026;07/04/2026 22:01;Ribadesella;;43.469144;-5.11138;
0982-06042026;06/04/2026 23:31;Gijón;;43.509076;-5.77029;
1064-04042026;04/04/2026 20:16;Corvera de Asturias;;43.528189;-5.88816;
0868-01042026;01/04/2026 23:46;Gijón;;43.538926;-5.66572;
0530-03042026;03/04/2026 13:16;Gijón;;43.538926;-5.66572;
0486-01042026;01/04/2026 17:16;Cudillero;;43.568551;-6.24822;
